	simpson
ERR1459250	0.0
ERR1459251	0.40247216154296994
ERR1459253	0.0
ERR1459254	0.0
ERR1459255	0.0
ERR1459256	0.0
ERR1459257	0.9477325423740581
ERR1459258	0.9450527038278694
ERR1459259	0.624584401538215
ERR1459260	0.03889425464637164
ERR1459261	0.9015687907816188
ERR1459262	0.9296334342560554
ERR1459264	0.5732964777280669
ERR1459265	0.0
ERR1459267	0.0
ERR1459268	0.8316973110851312
ERR1459269	0.0
ERR1459270	0.0
ERR1459271	0.0
ERR1459272	0.0
ERR1459273	0.0
ERR1459275	0.37496107131734646
ERR1459276	0.0
ERR1459277	0.0
ERR1459278	0.0
ERR1459279	0.8296466532605573
ERR1459280	0.49697617695211993
ERR1459281	0.4650000000000001
ERR1459282	0.0
ERR1459283	0.0
ERR1459285	0.9029848783694937
ERR1459286	0.0
ERR1459287	0.0
ERR1459289	0.0
ERR1459290	0.9584586396563748
ERR1459291	0.0
ERR1459292	0.0
ERR1459293	0.0
ERR1459294	0.0
ERR1459295	0.3856332703213612
ERR1459296	0.9323866281806082
ERR1459299	0.0
ERR1459302	0.0
ERR1459303	0.0
ERR1459304	0.0
ERR1459305	0.0
ERR1459306	0.0
ERR1459307	0.0
ERR1459308	0.9442902593347557
ERR1459309	0.0
ERR1459310	0.0
ERR1459311	0.0
ERR1459312	0.0
ERR1459313	0.0
ERR1459314	0.7908163265306123
ERR1459316	0.0
ERR1459317	0.0
ERR1459318	0.0
ERR1459319	0.0
ERR1459320	0.0
ERR1843719	0.2261878897464873
ERR2033211	0.577566255882666
ERR2056783	0.9510147456344469
ERR2056799	0.9682044998545088
ERR2056823	0.9769588188095821
